"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 30 15:01:26 GMT 2023","Wed Aug 30 15:01:29 GMT 2023","3098","firefox","","","","","A test that will pass",""
"passed","Wed Aug 30 15:01:46 GMT 2023","Wed Aug 30 15:01:48 GMT 2023","1643","webkit","","","","","Another test that will pass",""
"passed","Wed Aug 30 15:01:21 GMT 2023","Wed Aug 30 15:01:22 GMT 2023","1117","chromium","","","","","A test that will pass",""
"passed","Wed Aug 30 15:01:22 GMT 2023","Wed Aug 30 15:01:23 GMT 2023","776","chromium","","","","","Another test that will pass",""
"failed","Wed Aug 30 15:01:25 GMT 2023","Wed Aug 30 15:01:25 GMT 2023","422","chromium","","","","","A test that will fail",""
"failed","Wed Aug 30 15:01:52 GMT 2023","Wed Aug 30 15:01:54 GMT 2023","2354","webkit","","","","","A test that will fail",""
"failed","Wed Aug 30 15:01:36 GMT 2023","Wed Aug 30 15:01:40 GMT 2023","3789","firefox","","","","","A test that will fail",""
"passed","Wed Aug 30 15:01:41 GMT 2023","Wed Aug 30 15:01:46 GMT 2023","5869","webkit","","","","","A test that will pass",""
"passed","Wed Aug 30 15:01:29 GMT 2023","Wed Aug 30 15:01:30 GMT 2023","1575","firefox","","","","","Another test that will pass",""
